PROVINCIE,GEMEENTENUMMER,GEMEENTENAAM,SOORT INSTELLING,BRIN NUMMER ACTUEEL,INSTELLINGSNAAM ACTUEEL,CROHO ONDERDEEL,CROHO SUBONDERDEEL,OPLEIDINGSCODE ACTUEEL,OPLEIDINGSNAAM ACTUEEL,OPLEIDINGSVORM,OPLEIDINGSFASE ACTUEEL,SOORT DIPLOMA,2011 MAN,2011 VROUW,2012 MAN,2012 VROUW,2013 MAN,2013 VROUW,2014 MAN,2014 VROUW,2015 MAN,2015 VROUW
Gelderland,200,APELDOORN,WO kleine univ.,21QO,Theologische Universiteit Apeldoorn,taal en cultuur,n.v.t. (taal en cultuur),56109,B Theologie,voltijd onderwijs,bachelor,wo bachelor,13,1,17,2,12,2,12,1,7,5
Gelderland,200,APELDOORN,WO kleine univ.,21QO,Theologische Universiteit Apeldoorn,taal en cultuur,n.v.t. (taal en cultuur),60257,M Theologie,voltijd onderwijs,master,wo master,14,0,3,1,6,1,12,0,14,1
Gelderland,268,NIJMEGEN,reguliere inst.,21PM,Radboud Universiteit Nijmegen,economie,n.v.t. (economie),50645,B Bedrijfskunde,voltijd onderwijs,bachelor,wo bachelor,92,61,86,75,113,69,116,79,94,72
Gelderland,268,NIJMEGEN,reguliere inst.,21PM,Radboud Universiteit Nijmegen,economie,n.v.t. (economie),50950,B Economie en Bedrijfseconomie,voltijd onderwijs,bachelor,wo bachelor,30,19,43,14,41,34,62,21,56,23
Gelderland,268,NIJMEGEN,reguliere inst.,21PM,Radboud Universiteit Nijmegen,economie,n.v.t. (economie),60644,M Business Administration,voltijd onderwijs,master,wo master,0,0,3,4,129,105,118,125,92,99
Gelderland,268,NIJMEGEN,reguliere inst.,21PM,Radboud Universiteit Nijmegen,economie,n.v.t. (economie),66401,M Economics,voltijd onderwijs,master,wo master,49,20,44,24,53,34,54,31,66,29
Gelderland,268,NIJMEGEN,reguliere inst.,21PM,Radboud Universiteit Nijmegen,economie,n.v.t. (economie),66834,M Bedrijfskunde,voltijd onderwijs,master,wo master,183,137,144,126,0,0,0,0,0,0
Gelderland,268,NIJMEGEN,reguliere inst.,21PM,Radboud Universiteit Nijmegen,gedrag en maatschappij,n.v.t. (gedrag en maatschappij),50035,B Culturele Antropologie en Ontwikkelingssociologie,voltijd onderwijs,bachelor,wo bachelor,8,32,8,40,8,27,8,49,6,39
Gelderland,268,NIJMEGEN,reguliere inst.,21PM,Radboud Universiteit Nijmegen,gedrag en maatschappij,n.v.t. (gedrag en maatschappij),56601,B Sociologie,voltijd onderwijs,bachelor,wo bachelor,13,25,18,16,12,17,12,21,8,29
Gelderland,268,NIJMEGEN,reguliere inst.,21PM,Radboud Universiteit Nijmegen,gedrag en maatschappij,n.v.t. (gedrag en maatschappij),56604,B Psychologie,voltijd onderwijs,bachelor,wo bachelor,86,278,65,285,80,283,65,281,54,244
Gelderland,268,NIJMEGEN,reguliere inst.,21PM,Radboud Universiteit Nijmegen,gedrag en maatschappij,n.v.t. (gedrag en maatschappij),56606,B Politicologie,voltijd onderwijs,bachelor,wo bachelor,42,21,34,23,30,27,40,25,30,16
Gelderland,268,NIJMEGEN,reguliere inst.,21PM,Radboud Universiteit Nijmegen,gedrag en maatschappij,n.v.t. (gedrag en maatschappij),56607,B Pedagogische Wetenschappen,voltijd onderwijs,bachelor,wo bachelor,19,290,6,224,8,210,4,173,4,183
Gelderland,268,NIJMEGEN,reguliere inst.,21PM,Radboud Universiteit Nijmegen,gedrag en maatschappij,n.v.t. (gedrag en maatschappij),56615,B Communicatiewetenschap,voltijd onderwijs,bachelor,wo bachelor,20,50,28,51,20,28,31,43,17,47
Gelderland,268,NIJMEGEN,reguliere inst.,21PM,Radboud Universiteit Nijmegen,gedrag en maatschappij,n.v.t. (gedrag en maatschappij),56627,B Bestuurskunde,voltijd onderwijs,bachelor,wo bachelor,19,25,21,17,21,24,22,21,26,24
Gelderland,268,NIJMEGEN,reguliere inst.,21PM,Radboud Universiteit Nijmegen,gedrag en maatschappij,n.v.t. (gedrag en maatschappij),56838,B Sociale Geografie en Planologie,voltijd onderwijs,bachelor,wo bachelor,33,22,0,0,0,0,0,0,0,0
Gelderland,268,NIJMEGEN,reguliere inst.,21PM,Radboud Universiteit Nijmegen,gedrag en maatschappij,n.v.t. (gedrag en maatschappij),56947,"B Geografie, Planologie en Milieu",voltijd onderwijs,bachelor,wo bachelor,0,0,37,25,45,14,41,15,38,25
