province,municipality_id,municipality_name,institution_type,brin_id,institution_name,croho_section,croho_subsection,degree_course_id,degree_course_name,degree_course_education_type,degree_course_type,diploma_type,year,male,female
Gelderland,200,APELDOORN,WO kleine univ.,21QO,Theologische Universiteit Apeldoorn,taal en cultuur,n.v.t. (taal en cultuur),56109,B Theologie,voltijd onderwijs,bachelor,wo bachelor,2011,13,1
Gelderland,200,APELDOORN,WO kleine univ.,21QO,Theologische Universiteit Apeldoorn,taal en cultuur,n.v.t. (taal en cultuur),56109,B Theologie,voltijd onderwijs,bachelor,wo bachelor,2012,17,2
Gelderland,200,APELDOORN,WO kleine univ.,21QO,Theologische Universiteit Apeldoorn,taal en cultuur,n.v.t. (taal en cultuur),56109,B Theologie,voltijd onderwijs,bachelor,wo bachelor,2013,12,2
Gelderland,200,APELDOORN,WO kleine univ.,21QO,Theologische Universiteit Apeldoorn,taal en cultuur,n.v.t. (taal en cultuur),56109,B Theologie,voltijd onderwijs,bachelor,wo bachelor,2014,12,1
Gelderland,200,APELDOORN,WO kleine univ.,21QO,Theologische Universiteit Apeldoorn,taal en cultuur,n.v.t. (taal en cultuur),56109,B Theologie,voltijd onderwijs,bachelor,wo bachelor,2015,7,5
Gelderland,200,APELDOORN,WO kleine univ.,21QO,Theologische Universiteit Apeldoorn,taal en cultuur,n.v.t. (taal en cultuur),60257,M Theologie,voltijd onderwijs,master,wo master,2011,14,0
Gelderland,200,APELDOORN,WO kleine univ.,21QO,Theologische Universiteit Apeldoorn,taal en cultuur,n.v.t. (taal en cultuur),60257,M Theologie,voltijd onderwijs,master,wo master,2012,3,1
Gelderland,200,APELDOORN,WO kleine univ.,21QO,Theologische Universiteit Apeldoorn,taal en cultuur,n.v.t. (taal en cultuur),60257,M Theologie,voltijd onderwijs,master,wo master,2013,6,1
Gelderland,200,APELDOORN,WO kleine univ.,21QO,Theologische Universiteit Apeldoorn,taal en cultuur,n.v.t. (taal en cultuur),60257,M Theologie,voltijd onderwijs,master,wo master,2014,12,0
Gelderland,200,APELDOORN,WO kleine univ.,21QO,Theologische Universiteit Apeldoorn,taal en cultuur,n.v.t. (taal en cultuur),60257,M Theologie,voltijd onderwijs,master,wo master,2015,14,1
Gelderland,268,NIJMEGEN,reguliere inst.,21PM,Radboud Universiteit Nijmegen,economie,n.v.t. (economie),50645,B Bedrijfskunde,voltijd onderwijs,bachelor,wo bachelor,2011,92,61
Gelderland,268,NIJMEGEN,reguliere inst.,21PM,Radboud Universiteit Nijmegen,economie,n.v.t. (economie),50645,B Bedrijfskunde,voltijd onderwijs,bachelor,wo bachelor,2012,86,75
