province,municipality_id,municipality_name,institution_type,brin_id,institution_name,croho_section,croho_subsection,degree_course_id,degree_course_name,degree_course_education_type,degree_course_type,year,registered_male,registered_female,graduated_male,graduated_female
Gelderland,200,APELDOORN,WO kleine univ.,21QO,Theologische Universiteit Apeldoorn,taal en cultuur,n.v.t. (taal en cultuur),56109,B Theologie,voltijd onderwijs,bachelor,2011,,,13,1
Gelderland,200,APELDOORN,WO kleine univ.,21QO,Theologische Universiteit Apeldoorn,taal en cultuur,n.v.t. (taal en cultuur),56109,B Theologie,voltijd onderwijs,bachelor,2012,28,3,17,2
Gelderland,200,APELDOORN,WO kleine univ.,21QO,Theologische Universiteit Apeldoorn,taal en cultuur,n.v.t. (taal en cultuur),56109,B Theologie,voltijd onderwijs,bachelor,2013,27,7,12,2
Gelderland,200,APELDOORN,WO kleine univ.,21QO,Theologische Universiteit Apeldoorn,taal en cultuur,n.v.t. (taal en cultuur),56109,B Theologie,voltijd onderwijs,bachelor,2014,23,8,12,1
Gelderland,200,APELDOORN,WO kleine univ.,21QO,Theologische Universiteit Apeldoorn,taal en cultuur,n.v.t. (taal en cultuur),56109,B Theologie,voltijd onderwijs,bachelor,2015,28,11,7,5
Gelderland,200,APELDOORN,WO kleine univ.,21QO,Theologische Universiteit Apeldoorn,taal en cultuur,n.v.t. (taal en cultuur),56109,B Theologie,voltijd onderwijs,bachelor,2016,32,10,,
Gelderland,200,APELDOORN,WO kleine univ.,21QO,Theologische Universiteit Apeldoorn,taal en cultuur,n.v.t. (taal en cultuur),56109,B Theologie,voltijd onderwijs,propedeuse bachelor,2012,14,8,,
Gelderland,200,APELDOORN,WO kleine univ.,21QO,Theologische Universiteit Apeldoorn,taal en cultuur,n.v.t. (taal en cultuur),56109,B Theologie,voltijd onderwijs,propedeuse bachelor,2013,19,7,,
Gelderland,200,APELDOORN,WO kleine univ.,21QO,Theologische Universiteit Apeldoorn,taal en cultuur,n.v.t. (taal en cultuur),56109,B Theologie,voltijd onderwijs,propedeuse bachelor,2014,31,9,,
Gelderland,200,APELDOORN,WO kleine univ.,21QO,Theologische Universiteit Apeldoorn,taal en cultuur,n.v.t. (taal en cultuur),56109,B Theologie,voltijd onderwijs,propedeuse bachelor,2015,17,5,,
Gelderland,200,APELDOORN,WO kleine univ.,21QO,Theologische Universiteit Apeldoorn,taal en cultuur,n.v.t. (taal en cultuur),56109,B Theologie,voltijd onderwijs,propedeuse bachelor,2016,16,7,,
Gelderland,200,APELDOORN,WO kleine univ.,21QO,Theologische Universiteit Apeldoorn,taal en cultuur,n.v.t. (taal en cultuur),60257,M Theologie,voltijd onderwijs,master,2011,,,14,0
Gelderland,200,APELDOORN,WO kleine univ.,21QO,Theologische Universiteit Apeldoorn,taal en cultuur,n.v.t. (taal en cultuur),60257,M Theologie,voltijd onderwijs,master,2012,31,4,3,1
Gelderland,200,APELDOORN,WO kleine univ.,21QO,Theologische Universiteit Apeldoorn,taal en cultuur,n.v.t. (taal en cultuur),60257,M Theologie,voltijd onderwijs,master,2013,41,3,6,1
Gelderland,200,APELDOORN,WO kleine univ.,21QO,Theologische Universiteit Apeldoorn,taal en cultuur,n.v.t. (taal en cultuur),60257,M Theologie,voltijd onderwijs,master,2014,40,3,12,0
Gelderland,200,APELDOORN,WO kleine univ.,21QO,Theologische Universiteit Apeldoorn,taal en cultuur,n.v.t. (taal en cultuur),60257,M Theologie,voltijd onderwijs,master,2015,36,2,14,1
Gelderland,200,APELDOORN,WO kleine univ.,21QO,Theologische Universiteit Apeldoorn,taal en cultuur,n.v.t. (taal en cultuur),60257,M Theologie,voltijd onderwijs,master,2016,28,2,,
Gelderland,268,NIJMEGEN,reguliere inst.,21PM,Radboud Universiteit Nijmegen,economie,n.v.t. (economie),50645,B Bedrijfskunde,voltijd onderwijs,bachelor,2011,,,92,61
Gelderland,268,NIJMEGEN,reguliere inst.,21PM,Radboud Universiteit Nijmegen,economie,n.v.t. (economie),50645,B Bedrijfskunde,voltijd onderwijs,bachelor,2012,250,204,86,75
Gelderland,268,NIJMEGEN,reguliere inst.,21PM,Radboud Universiteit Nijmegen,economie,n.v.t. (economie),50645,B Bedrijfskunde,voltijd onderwijs,bachelor,2013,263,206,113,69
Gelderland,268,NIJMEGEN,reguliere inst.,21PM,Radboud Universiteit Nijmegen,economie,n.v.t. (economie),50645,B Bedrijfskunde,voltijd onderwijs,bachelor,2014,257,221,116,79
Gelderland,268,NIJMEGEN,reguliere inst.,21PM,Radboud Universiteit Nijmegen,economie,n.v.t. (economie),50645,B Bedrijfskunde,voltijd onderwijs,bachelor,2015,272,236,94,72
Gelderland,268,NIJMEGEN,reguliere inst.,21PM,Radboud Universiteit Nijmegen,economie,n.v.t. (economie),50645,B Bedrijfskunde,voltijd onderwijs,bachelor,2016,295,254,,
Gelderland,268,NIJMEGEN,reguliere inst.,21PM,Radboud Universiteit Nijmegen,economie,n.v.t. (economie),50645,B Bedrijfskunde,voltijd onderwijs,propedeuse bachelor,2012,255,146,,
Gelderland,268,NIJMEGEN,reguliere inst.,21PM,Radboud Universiteit Nijmegen,economie,n.v.t. (economie),50645,B Bedrijfskunde,voltijd onderwijs,propedeuse bachelor,2013,304,163,,
Gelderland,268,NIJMEGEN,reguliere inst.,21PM,Radboud Universiteit Nijmegen,economie,n.v.t. (economie),50645,B Bedrijfskunde,voltijd onderwijs,propedeuse bachelor,2014,313,158,,
Gelderland,268,NIJMEGEN,reguliere inst.,21PM,Radboud Universiteit Nijmegen,economie,n.v.t. (economie),50645,B Bedrijfskunde,voltijd onderwijs,propedeuse bachelor,2015,269,149,,
Gelderland,268,NIJMEGEN,reguliere inst.,21PM,Radboud Universiteit Nijmegen,economie,n.v.t. (economie),50645,B Bedrijfskunde,voltijd onderwijs,propedeuse bachelor,2016,287,154,,
Gelderland,268,NIJMEGEN,reguliere inst.,21PM,Radboud Universiteit Nijmegen,economie,n.v.t. (economie),50950,B Economie en Bedrijfseconomie,voltijd onderwijs,bachelor,2011,,,30,19
Gelderland,268,NIJMEGEN,reguliere inst.,21PM,Radboud Universiteit Nijmegen,economie,n.v.t. (economie),50950,B Economie en Bedrijfseconomie,voltijd onderwijs,bachelor,2012,119,53,43,14
Gelderland,268,NIJMEGEN,reguliere inst.,21PM,Radboud Universiteit Nijmegen,economie,n.v.t. (economie),50950,B Economie en Bedrijfseconomie,voltijd onderwijs,bachelor,2013,130,70,41,34
Gelderland,268,NIJMEGEN,reguliere inst.,21PM,Radboud Universiteit Nijmegen,economie,n.v.t. (economie),50950,B Economie en Bedrijfseconomie,voltijd onderwijs,bachelor,2014,135,54,62,21
Gelderland,268,NIJMEGEN,reguliere inst.,21PM,Radboud Universiteit Nijmegen,economie,n.v.t. (economie),50950,B Economie en Bedrijfseconomie,voltijd onderwijs,bachelor,2015,159,72,56,23
Gelderland,268,NIJMEGEN,reguliere inst.,21PM,Radboud Universiteit Nijmegen,economie,n.v.t. (economie),50950,B Economie en Bedrijfseconomie,voltijd onderwijs,bachelor,2016,188,81,,
Gelderland,268,NIJMEGEN,reguliere inst.,21PM,Radboud Universiteit Nijmegen,economie,n.v.t. (economie),50950,B Economie en Bedrijfseconomie,voltijd onderwijs,propedeuse bachelor,2012,144,51,,
Gelderland,268,NIJMEGEN,reguliere inst.,21PM,Radboud Universiteit Nijmegen,economie,n.v.t. (economie),50950,B Economie en Bedrijfseconomie,voltijd onderwijs,propedeuse bachelor,2013,188,52,,
